specialty,uni_short,uni_full,bm_max,bm,applications
Морський та внутрішній водний транспорт,"ДІ НУ""ОМА""","Дунайський інститут Національного університету ""Одеська морська академія""",12,N/A,68
Енерговиробництво,ОНТУ,Одеський національний технологічний університет,12,N/A,32
Харчові технології,ОНТУ,Одеський національний технологічний університет,12,N/A,36
Інженерія програмного забезпечення,Одеська політехніка,"Національний університет ""Одеська політехніка""",12,N/A,46
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",Одеська політехніка,"Національний університет ""Одеська політехніка""",12,N/A,41
Середня освіта,Університет Ушинського,Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»,12,N/A,9
Інформаційно-вимірювальні технології,ДУІТЗ,Державний університет інтелектуальних технологій і зв'язку,12,N/A,11
Музичне мистецтво,ОНМА ім. А.В. Нежданової,Одеська національна музична академія імені А.В. Нежданової,N/A,12,22
Середня освіта,НУК ім. адм. Макарова,Національний університет кораблебудування імені адмірала Макарова,12,N/A,33
Харчові технології,МНАУ,Миколаївський національний аграрний університет,12,N/A,10
Тваринництво,МНАУ,Миколаївський національний аграрний університет,12,N/A,8
Залізничний транспорт,Львівська політехніка,"Національний університет ""Львівська політехніка""",12,N/A,22
Матеріалознавство,Львівська політехніка,"Національний університет ""Львівська політехніка""",12,N/A,46
Дизайн,Львівська політехніка,"Національний університет ""Львівська політехніка""",N/A,12,371
Гірництво та нафтогазові технології,Львівська політехніка,"Національний університет ""Львівська політехніка""",12,N/A,59
Філологія,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,12,N/A,125
Математика,ЛНУ ім. Івана Франка,Львівський національний університет імені Івана Франка,12,N/A,21
Технології захисту навколишнього середовища,ЛНУВМБ імені С. З. Ґжицького,Львівський національний університет ветеринарної медицини та біотехнологій імені С. З. Ґжицького,12,N/A,65
Інженерія програмного забезпечення,НЛТУ України,Національний лісотехнічний університет України,12,N/A,307
Терапія та реабілітація,СНУ ім. В.Даля,Східноукраїнський національний університет імені Володимира Даля,12,N/A,166
Початкова освіта,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",12,N/A,20
Початкова освіта,"ДЗ ""ЛНУ імені Тараса Шевченка""","Державний заклад ""Луганський національний університет імені Тараса Шевченка""",12,N/A,46
Електрична інженерія,ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,12,N/A,41
Будівництво та цивільна інженерія,ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,12,N/A,27
Інформаційні системи і технології,ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,12,N/A,135
"Автоматизація, комп’ютерно-інтегровані технології та робототехніка",ІФНТУНГ,Івано-Франківський національний технічний університет нафти і газу,12,N/A,48
Соціальна робота та консультування,ПНУ ім. В. Стефаника,Прикарпатський національний університет імені Василя Стефаника,12,N/A,47
"Фінанси, банківська справа, страхування та фондовий ринок",ТДАТУ,Таврійський державний агротехнологічний університет імені Дмитра Моторного,12,N/A,23
